Count,X,Y,Z,Training count,Output
4461,-3.92,-14.08,-9.16,49,0
4460,-3.85,-15.03,-8.95,,0
4459,-3.74,-14.82,-8.97,,0
4458,-3.72,-14.75,-8.97,,0
4457,-3.7,-14.32,-8.96,,0
4456,-3.33,-14.53,-9.03,,0
4455,-3.09,-14.32,-9.13,,0
4454,-3.2,-11.7,-9.08,,0
4453,-3.31,-10.67,-8.87,,0
4452,-2.19,-9.34,-9.88,,0
4451,-1.1,-7.7,-12.2,,0
4450,0.11,-5.75,-15.41,,0
4449,0.5,-3.18,-19.2,,0
4448,0.24,-2.02,-22.65,,0
4447,0.17,0.47,-25.44,,0
4446,0.17,2,-27.12,,0
4445,0.24,3.42,-27.97,,0
4444,0.12,4.98,-28.18,,0
4443,0.23,4.28,-28.09,,0
4442,0.32,4.35,-28.14,,0
4441,0.41,4.17,-28.15,,0
4386,-2.98,-14.14,-9.71,48,0
4385,-2.75,-12.41,-9.65,,0
4384,-2.83,-9.34,-9.33,,0
4383,-2.31,-8.64,-9.89,,0
4382,-1.18,-7.03,-12.27,,0
4381,-0.2,-5.37,-15.87,,0
4380,0.67,-2.8,-19.92,,0
4379,0.79,-0.22,-23.32,,0
4378,0.23,1.27,-25.77,,0
4377,0.23,1.21,-27.45,,0
4376,0.27,3.64,-28.46,,0
4375,0.18,4.04,-28.56,,0
4374,0.13,4.96,-28.35,,0
4373,0.38,5.02,-28.1,,0
4372,0.42,4.58,-28.07,,0
4325,-2.73,-12.42,-11.27,47,0
4324,-2.68,-11.55,-11.3,,0
4323,-2.55,-11.2,-11.31,,0
4322,-2.14,-11.63,-11.42,,0
4321,-1.56,-7.96,-11.56,,0
4320,-2.07,-6.67,-11.69,,0
4319,-1.19,-6.26,-13.15,,0
4318,-0.14,-4.35,-15.95,,0
4317,0.45,-2.88,-19.64,,0
4316,0.58,-1.67,-23.32,,0
4315,0.31,1.12,-26.18,,0
4314,0.07,2.92,-27.59,,0
4313,0.07,3.74,-27.93,,0
4312,0.04,3.92,-27.82,,0
4311,0.15,3.47,-27.66,,0
4310,0.29,4.17,-27.44,,0
4309,0.37,3.75,-27.23,,0
4308,0.37,3.86,-27.19,,0
4255,-2.9,-13.01,-10.09,46,0
4254,-2.9,-13.49,-10.07,,0
4253,-3.01,-13.72,-10.07,,0
4252,-2.22,-9.77,-9.92,,0
4251,-2.42,-8.88,-9.66,,0
4250,-1.87,-7.11,-10.64,,0
4249,-0.82,-5.36,-12.87,,0
4248,0.01,-4.21,-16.12,,0
4247,0.96,-2.49,-20.25,,0
4246,0.8,-1.22,-23.87,,0
4245,0.6,0.97,-26.34,,0
4244,0.42,2.17,-27.65,,0
4243,0.26,4.01,-28.11,,0
4242,0.15,3.96,-27.95,,0
4241,0.02,4.83,-27.48,,0
4240,0.26,4.26,-27.24,,0
4239,0.28,4.09,-27.25,,0
4178,-3.45,-14.66,-8.19,45,0
4177,-3.12,-13.93,-8.31,,0
4176,-2.9,-13.97,-8.36,,0
4175,-2.66,-12.38,-8.5,,0
4174,-2.46,-10.07,-8.46,,0
4173,-1.74,-8.3,-9.32,,0
4172,-0.86,-7.01,-11.45,,0
4171,-0.27,-4.67,-14.94,,0
4170,0.28,-2.91,-19.19,,0
4169,0.33,-0.54,-23.17,,0
4168,0.09,1.56,-25.99,,0
4167,0.45,2.63,-27.73,,0
4166,0.2,4.13,-28.28,,0
4165,-0.03,4.79,-27.73,,0
4164,0.22,4.83,-27.07,,0
4163,0.49,3.92,-26.91,,0
4162,0.41,4.37,-26.85,,0
4103,-5.48,-17.34,-4.24,44,0
4102,-5.15,-17.74,-4.2,,0
4101,-4.9,-17.65,-4.27,,0
4100,-4.9,-18.73,-4.35,,0
4099,-4.3,-15.71,-4.36,,0
4098,-3.8,-14.68,-4.19,,0
4097,-2.9,-10.02,-4.49,,0
4096,-2.18,-10.39,-6.15,,0
4095,-0.44,-7.44,-9.69,,0
4094,-0.12,-6.3,-14.45,,0
4093,0.51,-3.74,-19.83,,0
4092,0.41,-0.36,-23.99,,0
4091,0.19,2.44,-26.34,,0
4090,0.14,3.7,-27.22,,0
4089,0.14,4.42,-27.14,,0
4088,0.32,3.63,-26.9,,0
4087,0.32,4.76,-26.66,,0
4086,0.38,4.11,-26.61,,0
4085,0.31,4.43,-26.64,,0
4020,-2.45,-10.59,-9.17,43,0
4019,-2.5,-12.57,-9.16,,0
4018,-1.99,-8.28,-9.28,,0
4017,-2.19,-7.13,-9.74,,0
4016,-1.26,-4.96,-11.58,,0
4015,-0.31,-5.08,-14.94,,0
4014,0.1,-2.89,-19.19,,0
4013,-0.14,-0.52,-22.69,,0
4012,-0.13,1.15,-25.14,,0
4011,-0.05,1.67,-26.31,,0
4010,0.15,5.11,-26.51,,0
4009,0.26,4.51,-25.81,,0
4008,0.45,3.34,-25.66,,0
4007,0.59,3.3,-25.56,,0
3947,-2.9,-12.47,-8.15,42,0
3946,-2.46,-13.5,-8.27,,0
3945,-2.12,-10.5,-8.34,,0
3944,-2.96,-8.57,-8.06,,0
3943,-2.37,-7.87,-8.64,,0
3942,-1.1,-6.15,-10.76,,0
3941,-0.41,-4.49,-14.29,,0
3940,0.05,-2.08,-18.24,,0
3939,0.4,-0.93,-21.6,,0
3938,0.01,0.43,-23.95,,0
3937,0.13,1.2,-25.42,,0
3936,0.49,2.19,-26.12,,0
3935,-0.1,5.12,-25.8,,0
3934,0.19,4.18,-25.06,,0
3933,0.31,3.45,-24.97,,0
3876,-2.31,-9.52,-8.13,41,0
3875,-2.22,-8.62,-8.45,,0
3874,-1.64,-7.07,-9.87,,0
3873,-1,-4.78,-12.36,,0
3872,-0.5,-3.58,-15.75,,0
3871,-0.01,-2.59,-19.57,,0
3870,0.09,-0.06,-22.62,,0
3869,0.25,0.56,-24.51,,0
3868,0.3,2.32,-25.33,,0
3867,0.2,4.44,-25.15,,0
3866,0.21,4.13,-24.81,,0
3865,0.39,3.66,-24.8,,0
3864,0.36,3.8,-24.84,,0
3783,-0.89,-1.98,-10.47,40,0
3782,0.11,-3.99,-13.7,,0
3781,0.44,-3.6,-19.28,,0
3780,0.51,-1.99,-24.29,,0
3779,0.39,1.45,-26.49,,0
3778,-0.07,5.34,-25.54,,0
3777,-0.28,4.58,-24.15,,0
3776,0.26,3.31,-23.86,,0
3775,0.31,3.25,-23.85,,0
